ticker,company_name,current_yield,avg_yield_5y,yield_gap_ratio,market_cap,equity_ratio,consecutive_no_cut_years,per,pbr,payout_ratio,last_updated,data_quality_flag,y1_fiscal_year,y1_dividend_per_share,y1_yield,y1_is_missing,y2_fiscal_year,y2_dividend_per_share,y2_yield,y2_is_missing,y3_fiscal_year,y3_dividend_per_share,y3_yield,y3_is_missing,y4_fiscal_year,y4_dividend_per_share,y4_yield,y4_is_missing,y5_fiscal_year,y5_dividend_per_share,y5_yield,y5_is_missing
4093.T,東邦アセチレン,0.03233256351039261,0.042221733567036866,-0.23421989627552564,15066637312.0,56.365010508571025,7,11.709032,0.7888706,37.849998,2026-09-24,,2021,9.0,0.04356652466143141,False,2022,10.0,0.0520135198960682,False,2023,13.0,0.03647481165532166,False,2024,14.0,0.0393836720428829,False,2025,14.0,0.03967013957948019,False
4094.T,日本化学産業,0.0394563787812363,0.03391760192904553,0.16330095694199454,44472918016.0,82.38265280394585,9,19.467442,0.85457695,76.75999999999999,2026-09-24,,2021,29.0,0.024796109074990986,False,2022,32.0,0.03834657038285352,False,2023,32.0,0.02524357258798234,False,2024,60.0,0.04400269072443118,False,2025,90.0,0.0371990668749696,False
4095.T,日本パーカライジング,0.02807411566535654,0.03924221110591693,-0.2845939391747593,187098939392.0,73.90166023420507,2,15.206625,0.92693216,42.68,2026-09-24,,2021,27.0,0.028638342522780264,False,2022,47.0,0.05692290974732978,False,2023,40.0,0.03847094884519059,False,2024,45.0,0.036438921758229374,False,2025,50.0,0.03573993265605463,False
4097.T,高圧ガス工業,0.02444987775061125,0.025902962281578307,-0.05609723379014708,67734528000.0,68.21552751233982,6,14.527587,0.7871808,47.38,2026-09-24,,2021,16.0,0.022880784152850452,False,2022,16.0,0.027527003122283594,False,2023,19.0,0.022983702403817544,False,2024,21.0,0.026953750092930055,False,2025,30.0,0.029169571636009892,False
4098.T,チタン工業,0.010080645161290322,0.012618776883366678,-0.20113928200299436,2952618496.0,38.49683198601704,1,14.571093,0.5558395,17.629998999999998,2026-09-24,,2021,10.0,0.0063371449290037865,False,2022,18.0,0.012795503802136194,False,2023,20.0,0.01820038373660632,False,2024,10.0,0.013004309900070642,False,2025,10.0,0.012756542049016452,False
4099.T,四国化成ホールディングス,0.012189716312056738,0.022255322679719806,-0.45227860824661803,195140239360.0,64.95225168452178,2,17.14807,1.9087231,22.82,2026-09-24,,2021,12.0,0.018761610421182923,False,2022,19.0,0.0312445643746164,False,2023,14.0,0.01642601304823079,False,2024,25.0,0.02472369042607683,False,2025,27.5,0.02012073512849208,False
409A.T,オリオンビール,0.017167381974248927,0.003133510218047099,4.478642410474785,49105866752.0,37.28157248157248,0,10.230965,2.7704322,0.0,2026-09-24,,2021,0.0,0.0,True,2022,0.0,0.0,True,2023,0.0,0.0,True,2024,0.0,0.0,True,2025,20.0,0.015667551090235494,False
4100.T,戸田工業,0.0,0.0,0.0,10735478784.0,19.090776202309602,0,,0.9362062,0.0,2026-09-24,no_dividend_history,2021,0.0,0.0,True,2022,0.0,0.0,True,2023,0.0,0.0,True,2024,0.0,0.0,True,2025,0.0,0.0,True
4102.T,丸尾カルシウム,0.020761245674740483,0.024565857264686998,-0.15487395977894813,3081367040.0,58.81987331511833,7,10.73312,0.29891625,22.28,2026-09-24,,2021,30.0,0.026551403153497705,False,2022,30.0,0.026215689112819306,False,2023,30.0,0.023685610528994056,False,2024,30.0,0.024366992125047407,False,2025,30.0,0.022009591403076526,False
4107.T,伊勢化学工業,0.010038610038610039,0.024684261145650862,-0.5933194038348298,197970935808.0,78.54356561795551,8,32.937687,4.720225,33.94,2026-09-24,,2021,12.0,0.0347409194448111,False,2022,18.5,0.03670437342398665,False,2023,27.0,0.03234412189702639,False,2024,36.0,0.011278224817693328,False,2025,39.0,0.008353666144736847,False
4109.T,ステラ　ケミファ,0.03148148148148148,0.03294914141440286,-0.04454319202016699,65309372416.0,74.54987606977505,0,20.911589,1.3808064,65.779996,2026-09-24,,2021,47.0,0.020865921884592305,False,2022,66.0,0.03053871110588958,False,2023,90.0,0.03093092052463419,False,2024,179.0,0.04295802325971094,False,2025,170.0,0.03945213029718731,False
410A.T,ＧＭＯコマース,0.035726950354609925,0.006171516079632465,4.789007092198582,6149819904.0,68.74392685180875,0,16.286457,2.3410356,58.19,2026-09-24,,2021,0.0,0.0,True,2022,0.0,0.0,True,2023,0.0,0.0,True,2024,0.0,0.0,True,2025,40.3,0.030857580398162325,False
4112.T,保土谷化学工業,0.022185894441849603,0.019585483791034457,0.13277234703824492,34093918208.0,60.84732621249117,7,11.152204,0.62827396,26.029999999999998,2026-09-24,,2021,27.5,0.010254775266654656,False,2022,31.25,0.02406700178086412,False,2023,35.0,0.019953969188404735,False,2024,41.25,0.022215922568253214,False,2025,47.5,0.021435750150995556,False
4113.T,田岡化学工業,0.04932182490752158,0.030673438286735112,0.6079653166515426,11620514816.0,63.211329539575786,2,7.5766068,0.5981298,33.64,2026-09-24,,2021,32.0,0.024703199088029176,False,2022,36.0,0.05075012568706275,False,2023,18.0,0.026800674887871592,False,2024,18.0,0.018131682673419813,False,2025,40.0,0.03298150909729223,False
